Model,RobustBench_Acc,GREAT_Score,Calibrated_GREAT,RDI,NRGC,WCR,WCR_Class,FP_GREAT,Best_Class,Best_Score
Salman_WRN50-2,38.14,0.5454,0.8003,1.2311,0.2989,0.009,n01756291,-0.0702,n12057211,1.2401
Salman_R50,34.96,0.444,0.7299,1.1975,0.3497,0.0034,n04525038,-0.1547,n12057211,1.2009
Engstrom2019,29.22,0.446,0.7171,1.1959,0.3612,0.0029,n03710637,-0.152,n12057211,1.1988
Wong2020,26.24,0.3597,0.5908,1.1476,0.3876,0.0,n04525038,-0.2141,n12057211,1.1476
Salman_R18,25.32,0.2798,0.5747,1.1257,0.4537,0.0,n04525038,-0.283,n12057211,1.1257
